"trade_count","current_datetime","currency","volume","buy_exchange","buy_price","total_purchase_amount","sell_exchange","sell_price","total_sale_amount","profit","spread_percentage","wallet_balance"
1,"2024-04-07T23:17:43.378768","bitcoin",0.008658008658008658,"Binanceus",69300,600,"Gemini",69474.95,601.5147186147186,1.5147186147186176,0.25245310245309827,2400
2,"2024-04-07T23:29:16.176636","polygon",989.1842421008631,"Kraken",0.9103,900.4544155844156,"Gemini",0.91553,905.6278491706032,5.173433586187571,0.574535867296491,2101.060303030303
3,"2024-04-07T23:29:16.176636","solana",2.5125267604884556,"Poloniex",179.193,450.2272077922079,"Binanceus",179.66,451.4005577893559,1.1733499971480228,0.2606128587612153,1650.8330952380952
4,"2024-04-07T23:29:44.903264","solana",2.517839565885432,"Poloniex",179.193,451.17922532970823,"Binanceus",179.66,452.35505640697664,1.1758310772684126,0.2606128587612153,2556.6822768683464
5,"2024-04-07T23:30:13.194994","solana",2.5200051364883866,"Poloniex",179.109,451.35559999129845,"Binanceus",179.66,452.74412282150354,1.3885228302050905,0.3076338989107123,2557.6817332840246
6,"2024-04-07T23:30:41.879642","solana",2.5228723624814466,"Poloniex",178.988,451.56387841582915,"Binanceus",179.66,453.2592486434167,1.6953702275875457,0.3754441638545584,2558.861977689699
7,"2024-04-07T23:31:10.663693","solana",2.522292100429673,"Poloniex",179.13,451.81818394996725,"Binanceus",179.66,453.154998763195,1.336814813227761,0.295874504549769,2560.3030423831483
8,"2024-04-07T23:31:39.430377","solana",2.5259638565845655,"Poloniex",178.949,452.0187061719514,"Binanceus",179.66,453.81466647398304,1.7959603020316308,0.39731990678907636,2561.4393349743914
9,"2024-04-07T23:32:08.010490","solana",2.5272009533394586,"Poloniex",178.968,452.2881002172562,"Binanceus",179.66,454.0369232769671,1.748823059710901,0.38666130257923614,2562.9659012311186
10,"2024-04-07T23:32:36.726329","solana",2.5277768859930005,"Poloniex",179.031,452.5504236762129,"Binanceus",179.66,454.14039533750247,1.5899716612895531,0.3513358021795056,2564.4524008318726
11,"2024-04-07T23:33:05.348480","solana",2.530310369750686,"Poloniex",178.946,452.7889194254063,"Binanceus",179.66,454.59556102940826,1.8066416040019817,0.3990030511998025,2565.803876743969
12,"2024-04-07T23:33:34.688688","solana",2.530721666737457,"Poloniex",179.024,453.05991566600653,"Binanceus",179.66,454.6694546460515,1.609538980044988,0.35525962999374144,2567.3395221073706
13,"2024-04-07T23:34:03.845976","solana",2.5320702616018704,"Poloniex",179.024,453.30134651301324,"Binanceus",179.66,454.91174319939205,1.610396686378806,0.35525962999374144,2568.7076302404084
14,"2024-04-07T23:34:32.532281","solana",2.5350338495107603,"Poloniex",178.91,453.5429060159701,"Binanceus",179.66,455.4441814031032,1.9012753871330688,0.4192051869655134,2570.0764674238308
15,"2024-04-07T23:35:01.418154","solana",2.5359758673866204,"Poloniex",178.956,453.82809732404,"Binanceus",179.66,455.6134243346802,1.7853270106401737,0.3933927892889916,2571.692551502894
16,"2024-04-07T23:35:30.249071","solana",2.5374723193166817,"Poloniex",178.956,454.0958963756361,"Binanceus",179.66,455.882276888435,1.786380512798928,0.3933927892889916,2573.2100794619378
17,"2024-04-07T23:35:58.686041","solana",2.538033612922188,"Poloniex",179.022,454.36385345255593,"Binanceus",179.66,455.9831188976003,1.619265445044391,0.35638078001586687,2574.728502897817
